Date,Total Gain/Loss,Unrealized Gain/Loss,Realized Gain/Loss
2020-04-30,24.96280426540104,0.0,24.96280426540104
2020-05-01,27.733223618728054,2.7704193533270143,24.96280426540104
2020-05-02,28.645661031330867,3.6828567659298272,24.96280426540104
2020-05-03,27.108133316952035,2.145329051550995,24.96280426540104
2020-05-04,25.613914098460157,0.6511098330591167,24.96280426540104
2020-05-05,24.529414980363104,-0.4333892850379364,24.96280426540104
2020-05-06,22.16884874657771,-2.7939555188233314,24.96280426540104
2020-05-07,27.87804338086995,2.9152391154689106,24.96280426540104
2020-05-08,27.367828915324928,2.405024649923888,24.96280426540104
2020-05-09,26.97679560553404,2.013991340133,24.96280426540104
2020-05-10,17.186891427665085,-7.775912837735955,24.96280426540104
2020-05-11,16.213092663144025,-8.749711602257015,24.96280426540104
2020-05-12,16.213092663144025,-8.749711602257015,24.96280426540104
