Date,Total Gain/Loss,Unrealized Gain/Loss,Realized Gain/Loss
2020-05-01,9.362767685741735,0.049707427344456434,9.313060258397279
2020-05-02,9.369646428030213,0.05658616963293461,9.313060258397279
2020-05-03,9.358055456186408,0.04499519778912919,9.313060258397279
2020-05-04,9.346791402472626,0.03373114407534672,9.313060258397279
2020-05-05,9.338615914921057,0.025555656523778225,9.313060258397279
2020-05-06,9.32082085582482,0.007760597427541427,9.313060258397279
2020-05-07,9.363860156087814,0.050799897690534834,9.313060258397279
2020-05-08,9.360014073902546,0.046953815505267116,9.313060258397279
2020-05-09,9.357066017351341,0.04400575895406256,9.313060258397279
2020-05-10,9.28326367359921,-0.029796584798068793,9.313060258397279
2020-05-11,9.28326367359921,-0.029796584798068793,9.313060258397279
